matter_id,practice_area,original_amount,discount_amount,billed_amount,realized_amount,collection_days,write_off_amount,matter_date,client_id,lawyer_role,firm_specific_code
62,IP,49790.16,257.05,49533.11,39988.04,119,9545.07,2024-10-30,CL-019,Senior Associate,FSC-062
63,Employment,91358.87,5563.74,85795.13,29034.96,89,56760.17,2025-03-04,CL-004,Partner,FSC-063
64,Employment,78651.14,1576.49,77074.65,4162.8,18,72911.85,2025-03-04,CL-003,Paralegal,FSC-064
65,Corporate,95299.83,7228.03,88071.8,76602.08,98,11469.72,2025-02-06,CL-020,Partner,FSC-065
66,IP,25935.47,1597.42,24338.05,2170.43,63,22167.62,2024-11-23,CL-010,Associate,FSC-066
67,Litigation,51813.19,8617.02,43196.17,13705.32,94,29490.85,2024-07-12,CL-019,Associate,FSC-067
68,Tax,34300.83,1746.21,32554.62,28909.73,54,3644.89,2025-01-24,CL-006,Senior Associate,FSC-068
69,Corporate,19421.03,1888.44,17532.59,11251.06,175,6281.53,2025-02-22,CL-005,Senior Associate,FSC-069
70,Employment,7800.42,565.28,7235.14,1917.38,44,5317.76,2024-11-09,CL-015,Paralegal,FSC-070
71,Employment,79348.35,12908.72,66439.63,48442.8,147,17996.83,2024-11-30,CL-002,Senior Associate,FSC-071
72,Corporate,76228.77,592.17,75636.6,33321.18,18,42315.42,2024-08-14,CL-019,Senior Associate,FSC-072
73,Corporate,65500.01,9061.81,56438.2,47614.26,167,8823.94,2025-02-10,CL-014,Paralegal,FSC-073
74,Litigation,12062.87,521.66,11541.21,1799.43,178,9741.78,2025-02-21,CL-009,Partner,FSC-074
75,Tax,39254.4,3232.53,36021.87,13274.22,84,22747.65,2024-12-08,CL-020,Paralegal,FSC-075
76,Corporate,32006.28,5871.89,26134.39,24002.56,118,2131.83,2024-08-04,CL-002,Senior Associate,FSC-076
77,Tax,53759.21,3519.17,50240.04,18227.04,160,32013.0,2025-03-18,CL-007,Partner,FSC-077
78,Corporate,94603.5,17041.81,77561.69,2700.88,117,74860.81,2024-12-01,CL-020,Partner,FSC-078
79,Litigation,13499.99,1589.62,11910.37,3970.96,85,7939.41,2024-09-05,CL-002,Senior Associate,FSC-079
80,Employment,19282.24,2650.74,16631.5,9567.44,78,7064.06,2025-04-30,CL-013,Senior Associate,FSC-080
81,IP,66296.06,10499.14,55796.92,48218.59,87,7578.33,2024-12-19,CL-010,Senior Associate,FSC-081
82,Tax,80391.6,11391.97,68999.63,49163.92,70,19835.71,2025-05-17,CL-020,Paralegal,FSC-082
83,Litigation,88995.01,8566.21,80428.8,5911.36,17,74517.44,2025-01-06,CL-015,Associate,FSC-083
84,IP,68084.5,3970.67,64113.83,3445.85,40,60667.98,2024-11-10,CL-004,Associate,FSC-084
85,Employment,60274.32,7837.27,52437.05,9897.5,127,42539.55,2025-01-09,CL-014,Senior Associate,FSC-085
86,Employment,3752.49,463.59,3288.9,834.79,41,2454.11,2024-07-12,CL-004,Associate,FSC-086
87,Tax,64334.24,7977.85,56356.39,16631.58,118,39724.81,2025-05-13,CL-012,Partner,FSC-087
88,IP,80301.62,7943.12,72358.5,43859.88,178,28498.62,2024-10-09,CL-001,Associate,FSC-088
89,IP,66137.6,103.49,66034.11,19178.9,162,46855.21,2025-01-26,CL-009,Senior Associate,FSC-089
90,IP,52779.61,2008.45,50771.16,24705.68,36,26065.48,2025-03-11,CL-012,Senior Associate,FSC-090
91,IP,48178.98,7638.48,40540.5,26508.68,131,14031.82,2024-07-07,CL-018,Paralegal,FSC-091
92,Employment,89808.93,730.1,89078.83,26913.37,40,62165.46,2025-01-19,CL-006,Associate,FSC-092
93,Employment,20950.69,45.17,20905.52,14686.31,127,6219.21,2024-06-04,CL-009,Associate,FSC-093
94,Corporate,31062.51,1799.64,29262.87,13742.46,137,15520.41,2024-11-06,CL-005,Associate,FSC-094
95,Litigation,90459.03,6759.04,83699.99,20278.59,69,63421.4,2025-05-15,CL-015,Associate,FSC-095
96,Litigation,53022.75,2130.83,50891.92,7431.76,22,43460.16,2024-11-21,CL-013,Paralegal,FSC-096
97,Employment,43851.45,8727.05,35124.4,34486.62,149,637.78,2024-11-07,CL-012,Paralegal,FSC-097
98,Tax,99316.3,6538.55,92777.75,30509.23,56,62268.52,2025-05-06,CL-019,Paralegal,FSC-098
99,Litigation,81258.36,11769.07,69489.29,54306.77,31,15182.52,2024-12-17,CL-003,Partner,FSC-099
100,Tax,79015.59,5699.44,73316.15,55251.96,139,18064.19,2024-07-24,CL-019,Associate,FSC-100
